canonical_vgp_root	packet	source_row	job_id	job_name	partition	state	elapsed	elapsed_seconds	timelimit	allocated_cpus	requested_memory	max_rss	cpu_time_raw	total_cpu	exit_code	node_list	start	end	submit	failure_or_nonterminal
/moosefs/erikg/vgp	scale_vgp_real	101	1782011	vgp10-P03-preflight		COMPLETED	00:00:02	2	01:00:00	4	16G		8	00:00:00	0:0	octopus09	2026-07-19T07:47:15	2026-07-19T07:47:17	2026-07-19T07:47:15	false
/moosefs/erikg/vgp	scale_vgp_real	102	1782012	vgp10-P03-mapping		CANCELLED by 1001	00:01:47	107	3-00:00:00	32	160G		3424	00:00:00	0:0	octopus09	2026-07-19T07:47:18	2026-07-19T07:49:05	2026-07-19T07:47:15	true
/moosefs/erikg/vgp	scale_vgp_real	103	1782013	vgp10-P03-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:47:15	true
/moosefs/erikg/vgp	scale_vgp_real	104	1782014	vgp10-P03-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:47:15	true
/moosefs/erikg/vgp	scale_vgp_real	105	1782015	vgp10-P03-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:47:15	true
/moosefs/erikg/vgp	scale_vgp_real	106	1782017	vgp10-P03-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:47:15	true
/moosefs/erikg/vgp	scale_vgp_real	107	1782018	vgp10-P04-preflight		COMPLETED	00:00:01	1	01:00:00	4	16G		4	00:00:00	0:0	octopus10	2026-07-19T07:47:18	2026-07-19T07:47:19	2026-07-19T07:47:15	false
/moosefs/erikg/vgp	scale_vgp_real	108	1782016	vgp10-P03-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:47:15	true
/moosefs/erikg/vgp	scale_vgp_real	109	1782019	vgp10-P04-mapping		CANCELLED by 1001	00:01:45	105	3-00:00:00	32	160G		3360	00:00:00	0:0	octopus08	2026-07-19T07:47:20	2026-07-19T07:49:05	2026-07-19T07:47:16	true
/moosefs/erikg/vgp	scale_vgp_real	110	1782020	vgp10-P04-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:47:16	true
/moosefs/erikg/vgp	scale_vgp_real	111	1782021	vgp10-P04-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	160G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:49:05	2026-07-19T07:47:16	true
