canonical_vgp_root	selection_id	primary_theta_0_per_100bp_bin	source_path	source_sha256	interval	time_2N0	lambda
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	59	6.067712	0.50855
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	60	6.514015	0.50855
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	61	6.992613	0.50855
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	62	7.505842	0.50855
/moosefs/erikg/vgp	P04	0.52445	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/unscaled_trajectory.tsv	82097bff660e0db31b66c9fa72f8e513e8b1b7bc715e1f9e152c7410930b8a78	63	8.05621	0.50855
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	0	0.0	6.562356
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	1	0.009473	6.562356
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	2	0.019843	6.562356
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	3	0.031195	6.562356
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	4	0.043623	4.586093
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	5	0.057229	4.586093
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	6	0.072123	26.439195
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	7	0.088427	26.439195
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	8	0.106277	32.201138
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	9	0.125817	32.201138
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	10	0.147208	27.546525
