pair_id	catalog_row	scientific_name	link_class	h1_accession_version	h2_accession_version	disposition	primary_reason_code	core_callable_diversity	psmc_unscaled	annotation_partitions	same_pair_psmc_independent_evidence
R0335-HQ01	335	Aythya marila	other_high_quality	GCA_965140915.1	GCA_965140925.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0336-ALT01	336	Netta rufina	alternate	GCA_964035555.1	GCA_964035535.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0337-HQ01	337	Anas platyrhynchos	other_high_quality	GCA_964188345.1	GCA_964188335.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0337-HQ02	337	Anas platyrhynchos	other_high_quality	GCA_964188345.1	GCF_015476345.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0338-ALT01	338	Cygnus olor	alternate	GCA_009769625.2	GCA_009769485.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0339-ALT01	339	Anas acuta	alternate	GCA_963932015.1	GCA_963932075.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0340-ALT01	340	Branta canadensis	alternate	GCA_965231335.1	GCA_965231325.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0342-ALT01	342	Anser brachyrhynchus	alternate	GCA_964034855.1	GCA_964034845.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0343-HQ01	343	Anser anser	other_high_quality	GCA_964211835.1	GCA_964211785.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0344-ALT01	344	Bucephala clangula	alternate	GCA_964059595.1	GCA_964059595.1	excluded	CATALOG_SELF_LINK_NOT_PAIR	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0345-ALT01	345	Clangula hyemalis	alternate	GCA_963989345.1	GCA_963989315.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
